name,name_eng,rank,total_score,school_level,type,note,location,link,logo
淮阴工学院,Huaiyin Institute of Technology,297,130.6,,理工,,江苏,"https://www.hyit.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/43135857.png
吉林建筑大学,Jilin Jianzhu University,297,130.6,,理工,,吉林,"https://www.jlju.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/67832474.png
中原工学院,Zhongyuan University of Technology,300,130.4,,理工,,河南,"https://www.zut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/84789296.png
北华大学,Beihua University,301,130.2,,综合,,吉林,"https://www.beihua.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/70718646.png
嘉兴学院,Jiaxing University,301,130.2,,综合,,浙江,"https://www.zjxu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/41788600.png
临沂大学,Linyi University,303,129.8,,综合,,山东,"https://www.lyu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/85449690.png
吉首大学,Jishou University,304,129.7,,综合,,湖南,"https://www.jsu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/24710054.png
景德镇陶瓷大学,Jingdezhen Ceramic Institute,305,129.5,,理工,,江西,"https://www.jci.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/97993379.png
广东技术师范大学,Guangdong Polytechnic Normal University,306,129.3,,师范,,广东,"https://www.gpnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/76957155.png
淮北师范大学,Huaibei Normal University,307,128.7,,师范,,安徽,"https://www.chnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/42492973.png
广东海洋大学,Guangdong Ocean University,308,128.6,,农业,,广东,"https://www.gdou.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/71593833.png
长江师范学院,Yangtze Normal University,309,128.4,,师范,,重庆,"https://www.yznu.cn/
",https://www.shanghairanking.cn/_uni/logo/86035678.png
宁波工程学院,Ningbo University of Technology,309,128.4,,理工,,浙江,"https://www.nbut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/40131695.png
上海海关学院,Shanghai Customs College,311,128.0,,综合,,上海,"https://www.shcc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo-jpg/3678336400.jpg
黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University,312,127.8,,农业,,黑龙江,"http://byau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/10913514.png
江西科技师范大学,Jiangxi Science and Technology Normal University,313,127.0,,师范,,江西,"http://m.jxstnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/63137261.png
安阳师范学院,Anyang Normal University,314,125.9,,师范,,河南,"https://www.aynu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/54267189.png
西南林业大学,Southwest Forestry University,314,125.9,,林业,,云南,"http://jwc.swfu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/53403086.png
新疆农业大学,Xinjiang Agricultural University,316,125.5,,农业,,新疆,"https://www.xjau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/86159068.png
常熟理工学院,Changshu Institute of Technology,317,125.2,,综合,,江苏,"https://www.cslg.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/44425885.png
闽南师范大学,Minnan Normal University,318,124.9,,师范,,福建,"https://www.mnnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/54713686.png
天津城建大学,Tianjin Chengjian University,318,124.9,,理工,,天津,"https://www.tcu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/46314554.png
